key_ID,village,interview_date,no_membrs,respondent_wall_type,no_meals
60,Chirodzo,2016-11-16T00:00:00Z,8,burntbricks,2
61,Chirodzo,2016-11-16T00:00:00Z,10,muddaub,3
62,Chirodzo,2016-11-16T00:00:00Z,5,muddaub,3
63,Chirodzo,2016-11-16T00:00:00Z,4,muddaub,3
64,Chirodzo,2016-11-16T00:00:00Z,6,muddaub,3
65,Chirodzo,2016-11-16T00:00:00Z,8,burntbricks,3
66,Chirodzo,2016-11-16T00:00:00Z,10,burntbricks,3
67,Chirodzo,2016-11-16T00:00:00Z,5,burntbricks,3
68,Chirodzo,2016-11-16T00:00:00Z,8,burntbricks,3
69,Chirodzo,2016-11-16T00:00:00Z,4,muddaub,3
70,Chirodzo,2016-11-16T00:00:00Z,8,burntbricks,2
71,Ruaca,2016-11-18T00:00:00Z,6,burntbricks,2
127,Chirodzo,2016-11-16T00:00:00Z,4,burntbricks,2
133,Ruaca,2016-11-23T00:00:00Z,5,burntbricks,3
152,Ruaca,2016-11-24T00:00:00Z,10,burntbricks,3
153,Ruaca,2016-11-24T00:00:00Z,5,burntbricks,2
155,God,2016-11-24T00:00:00Z,4,burntbricks,2
178,Ruaca,2016-11-25T00:00:00Z,5,burntbricks,3
177,God,2016-11-25T00:00:00Z,10,sunbricks,3
180,Ruaca,2016-11-25T00:00:00Z,7,muddaub,3
181,God,2016-11-25T00:00:00Z,11,sunbricks,3
182,God,2016-11-25T00:00:00Z,7,muddaub,3
186,God,2016-11-28T00:00:00Z,7,muddaub,3
187,God,2016-11-28T00:00:00Z,5,muddaub,3
195,God,2016-11-28T00:00:00Z,5,burntbricks,2
196,God,2016-11-28T00:00:00Z,7,burntbricks,3
197,God,2016-11-28T00:00:00Z,5,burntbricks,2
198,God,2016-11-28T00:00:00Z,3,burntbricks,3
201,God,2016-11-21T00:00:00Z,4,muddaub,2
202,God,2016-11-17T00:00:00Z,12,burntbricks,3
72,Ruaca,2017-04-26T00:00:00Z,6,muddaub,2
73,Ruaca,2017-04-26T00:00:00Z,7,burntbricks,3
76,Ruaca,2017-04-26T00:00:00Z,17,burntbricks,3
83,Ruaca,2017-04-27T00:00:00Z,5,burntbricks,2
85,Ruaca,2017-04-27T00:00:00Z,7,sunbricks,2
89,God,2017-04-27T00:00:00Z,5,burntbricks,3
101,God,2017-04-27T00:00:00Z,3,muddaub,3
103,Ruaca,2017-04-27T00:00:00Z,6,sunbricks,3
102,Ruaca,2017-04-28T00:00:00Z,12,burntbricks,3
78,Ruaca,2017-04-28T00:00:00Z,6,burntbricks,2
80,Ruaca,2017-04-28T00:00:00Z,5,muddaub,3
104,Ruaca,2017-04-28T00:00:00Z,14,sunbricks,3
105,Ruaca,2017-04-28T00:00:00Z,6,sunbricks,3
106,God,2017-04-30T00:00:00Z,15,sunbricks,3
109,God,2017-05-03T00:00:00Z,4,sunbricks,3
110,Ruaca,2017-05-03T00:00:00Z,6,sunbricks,2
113,Ruaca,2017-05-03T00:00:00Z,11,burntbricks,3
118,Ruaca,2017-05-04T00:00:00Z,5,muddaub,3
125,Ruaca,2017-05-04T00:00:00Z,5,burntbricks,3
119,Ruaca,2017-05-04T00:00:00Z,3,muddaub,3
115,Ruaca,2017-05-11T00:00:00Z,4,sunbricks,3
108,God,2017-05-11T00:00:00Z,15,burntbricks,3
116,Ruaca,2017-05-11T00:00:00Z,5,burntbricks,3
117,Ruaca,2017-05-11T00:00:00Z,10,muddaub,3
144,Ruaca,2017-05-18T00:00:00Z,7,burntbricks,2
143,Ruaca,2017-05-18T00:00:00Z,10,burntbricks,3
150,Ruaca,2017-05-18T00:00:00Z,7,muddaub,3
159,God,2017-05-18T00:00:00Z,4,sunbricks,3
160,God,2017-06-03T00:00:00Z,7,burntbricks,2
165,Ruaca,2017-06-03T00:00:00Z,9,burntbricks,3
166,Ruaca,2017-06-03T00:00:00Z,11,muddaub,2
167,Ruaca,2017-06-03T00:00:00Z,8,muddaub,2
174,Ruaca,2017-06-03T00:00:00Z,12,burntbricks,3
175,Ruaca,2017-06-03T00:00:00Z,7,burntbricks,2
189,Ruaca,2017-06-03T00:00:00Z,15,sunbricks,3
191,Ruaca,2017-06-03T00:00:00Z,10,burntbricks,2
192,Chirodzo,2017-06-03T00:00:00Z,9,burntbricks,3
126,Ruaca,2017-05-18T00:00:00Z,3,burntbricks,3
193,Ruaca,2017-06-04T00:00:00Z,7,cement,3
194,Ruaca,2017-06-04T00:00:00Z,4,muddaub,3
199,Chirodzo,2017-06-04T00:00:00Z,7,burntbricks,3
200,Chirodzo,2017-06-04T00:00:00Z,8,burntbricks,3
